,timestep,J,Cl mg/l,Q,ET,Q Cl mg/l,S_scale,Rn,Ta
2006-04-09,8377,2.0,3.424657534,3.020581006,2.261722227,,4913.179729,209.04166666666666,1.2017499999999999
2006-04-10,8378,0.25,3.424657534,2.597128492,3.173997596,,5216.222012,271.2916666666667,0.4807916666666667
2006-04-11,8379,36.5,3.424657534,12.33427374,0.789058289,6.4,2064.437658,58.208333333333336,3.3455
2006-04-12,8380,7.25,3.97260274,6.289567039,2.058022052,,3546.895922,159.0,4.926458333333334
2006-04-13,8381,19.0,3.97260274,12.17518994,1.454197708,,2382.870702,115.79166666666667,6.206083333333333
2006-04-14,8382,2.75,3.97260274,6.814634078,3.494196527,,3391.892966,243.66666666666666,5.445875
2006-04-15,8383,0.0,0.0,4.836444134,1.830987721,,4014.518563,101.04166666666667,6.432125
2006-04-16,8384,0.5,3.97260274,3.928726257,1.658997945,,4403.719766,110.54166666666667,5.634875
2006-04-17,8385,0.0,0.0,3.392949721,0.94425058,,4686.58697,48.625,4.6152500000000005
2006-04-18,8386,6.75,3.97260274,3.048611732,1.589576534,6.5,4912.85608,105.75,5.161583333333334
2006-04-19,8387,23.0,0.684931507,8.290382682,1.450276612,,3002.458666,106.45833333333333,5.49925
2006-04-20,8388,7.5,0.684931507,5.233273743,1.47787801,,3889.675508,95.5,6.718125000000001
2006-04-21,8389,0.5,0.684931507,4.711022346,3.033841853,,4057.549481,174.45833333333334,8.296375
2006-04-22,8390,0.0,0.0,3.838324022,2.659891103,,4450.053922,155.08333333333334,7.881583333333334
2006-04-23,8391,1.5,0.684931507,3.405393855,1.961539403,,4681.213996,121.125,6.546666666666667
2006-04-24,8392,0.0,0.0,3.048687151,1.606106699,,4898.435016,86.66666666666667,6.576125
2006-04-25,8393,10.25,0.684931507,3.416103352,1.983833244,6.2,4679.84447,155.20833333333334,7.399541666666667
2006-04-26,8394,0.0,0.0,2.804782123,3.191489614,,5057.227806,214.16666666666666,6.6957916666666675
2006-04-27,8395,0.0,0.0,2.498706704,3.535370272,,5301.534893,207.125,7.327041666666666
2006-04-28,8396,0.0,0.0,2.314005587,3.58815759,,5460.132111,213.91666666666666,7.041708333333333
2006-04-29,8397,0.0,0.0,2.142452514,3.622758763,,5623.434039,232.29166666666666,5.81325
2006-04-30,8398,5.0,2.303098495,2.055293296,1.703542491,,5724.183612,110.0,4.4852083333333335
2006-05-01,8399,9.0,1.465689147,2.755081006,1.709188733,,5080.960847,121.125,4.343166666666667
2006-05-02,8400,2.5,0.797191252,2.109569832,1.463846066,6.8,5657.627455,76.33333333333333,5.876458333333333
2006-05-03,8401,0.25,0.684931507,1.949304469,4.856329435,,5818.778547,318.2916666666667,8.831291666666667
2006-05-04,8402,1.5,0.684931507,1.833963687,4.061571444,,5961.663568,182.875,12.119416666666666
2006-05-05,8403,0.0,0.0,1.71452514,5.670510702,,6104.919338,329.625,9.001125
2006-05-06,8404,5.75,0.684931507,1.72503352,2.899880646,,6102.266098,153.70833333333334,8.191041666666667
2006-05-07,8405,0.0,0.0,1.656226257,4.925356339,,6179.924395,276.875,8.207916666666668
2006-05-08,8406,22.5,0.684931507,3.32401676,1.059631839,,4640.482126,60.125,8.213333333333333
2006-05-09,8407,0.75,0.684931507,3.047178771,2.803142733,5.8,4799.629866,172.33333333333334,10.28675
2006-05-10,8408,0.0,0.0,2.182122905,5.167514216,,5576.483762,262.25,12.842083333333333
2006-05-11,8409,9.25,1.095890411,2.13149162,3.980275686,,5638.916922,189.33333333333334,12.841666666666667
2006-05-12,8410,0.0,0.0,1.969944134,6.017777537,,5800.285977,282.5416666666667,13.90375
2006-05-13,8411,0.0,0.0,1.890930168,1.637725081,,5895.175113,119.20833333333333,8.047833333333333
2006-05-14,8412,0.0,0.0,1.790597765,3.768018651,,6013.287619,198.83333333333334,9.56725
2006-05-15,8413,8.5,1.095890411,2.059114525,0.399069817,,5716.727464,24.458333333333332,8.800416666666665
2006-05-16,8414,0.25,1.095890411,1.939122905,2.378538725,6.2,5826.865887,129.91666666666666,9.731666666666667
2006-05-17,8415,12.5,4.109589041,2.721997207,0.836046602,,5043.994842,37.875,9.754583333333334
2006-05-18,8416,17.5,4.109589041,3.137857542,2.684459124,,4947.794996,159.0,8.7175
2006-05-19,8417,17.0,4.109589041,7.503586592,1.191520607,,3284.966073,80.16666666666667,7.965416666666666
2006-05-20,8418,16.0,4.109589041,13.21094413,1.117054345,,2319.304654,64.625,6.948875
2006-05-21,8419,20.0,4.109589041,11.30324581,1.170360491,,2604.210273,77.95833333333333,7.32375
2006-05-22,8420,11.75,4.109589041,12.81969553,1.102630262,,2426.880202,75.04166666666667,5.969166666666666
2006-05-23,8421,12.0,4.109589041,9.077530726,3.120659233,5.8,2957.926994,218.33333333333334,4.759416666666667
2006-05-24,8422,20.75,3.424657534,14.33498883,2.0921404,,2246.283677,156.58333333333334,4.9057916666666666
2006-05-25,8423,2.0,3.424657534,8.238921788,5.55421788,,3081.875815,324.0416666666667,7.626
2006-05-26,8424,46.25,3.424657534,31.60583799,1.169878532,,989.8031519,77.70833333333333,10.146666666666667
2006-05-27,8425,6.0,3.424657534,10.77101397,1.685263797,,2666.930988,117.70833333333333,9.326666666666666
2006-05-28,8426,0.0,0.0,6.870997207,3.127524578,,3388.072658,193.0,7.517291666666666
2006-05-29,8427,5.75,3.424657534,5.304117318,3.053740313,,3856.188274,220.16666666666666,5.550999999999999
2006-05-30,8428,0.25,3.424657534,4.168860335,3.281919792,6.3,4287.142808,250.33333333333334,5.016291666666667
2006-05-31,8429,0.0,0.0,3.475156425,5.290410577,,4637.963353,358.6666666666667,6.490333333333333
2006-06-01,8430,0.0,0.0,2.997377095,5.712978235,,4927.004377,349.125,9.195625
2006-06-02,8431,0.0,0.0,2.602810056,6.927785663,,5211.875081,372.8333333333333,11.431125
2006-06-03,8432,0.0,0.0,2.328988827,8.075143302,,5444.420833,370.75,13.6975
2006-06-04,8433,0.0,0.0,2.104818436,6.96532534,,5659.166383,324.875,13.76375
2006-06-05,8434,0.0,0.0,1.966851955,5.669056167,,5806.427021,272.2083333333333,13.247083333333334
2006-06-06,8435,0.0,0.0,1.827175978,6.872612596,5.9,5964.716475,364.125,14.110833333333334
2006-06-07,8436,2.5,1.380033107,1.699944134,6.401248885,,6126.232255,292.25,16.1475
2006-06-08,8437,0.0,0.0,1.600416201,6.487335889,,6261.375734,277.0416666666667,17.14625
