Date,year,month,day,WS01,WS02,WS03,WS06,WS07,WS08,WS09,WS10,MACK,LOOKOUT
1984-07-15,1984,7,15,0.004474061826,0.003992675427,0.009740995367999999,0.001387525503,0.001189307574,0.001359208656,0.0010194064919999998,0.000792871716,0.12264026435700001,0.991089645
1984-07-16,1984,7,16,0.0041342596619999995,0.0038794080390000003,0.009457826898,0.0013308918089999999,0.00113267388,0.001302574962,0.0009910896450000001,0.000792871716,0.11867590577699999,0.9627727979999999
1984-07-17,1984,7,17,0.003964358580000001,0.003822774345,0.00934455951,0.001302574962,0.001104357033,0.001302574962,0.0009910896450000001,0.000764554869,0.113720457552,0.934455951
1984-07-18,1984,7,18,0.003964358580000001,0.0037661406510000003,0.00934455951,0.001245941268,0.001076040186,0.001245941268,0.000962772798,0.000736238022,0.110095901136,0.906139104
1984-07-19,1984,7,19,0.003709506957,0.003539605875,0.009146341581,0.0012176244209999999,0.001047723339,0.001189307574,0.0009910896450000001,0.000736238022,0.10788718707,0.84950541
1984-07-20,1984,7,20,0.003539605875,0.003256437405,0.008778222569999999,0.001189307574,0.0009910896450000001,0.00113267388,0.0009910896450000001,0.000736238022,0.106018275168,0.821188563
1984-07-21,1984,7,21,0.0036245564159999998,0.003171486864,0.0084950541,0.0011609907270000001,0.000962772798,0.001104357033,0.0009910896450000001,0.000736238022,0.103413125244,0.821188563
1984-07-22,1984,7,22,0.003058219476,0.003058219476,0.008098618241999998,0.00113267388,0.000934455951,0.001047723339,0.000934455951,0.000707921175,0.10041153946199999,0.792871716
1984-07-23,1984,7,23,0.002944952088,0.002944952088,0.007730499231,0.001076040186,0.000934455951,0.0010194064919999998,0.0009061391039999999,0.000679604328,0.098514310713,0.764554869
1984-07-24,1984,7,24,0.003086536323,0.0030015857819999997,0.0077588160780000005,0.0010194064919999998,0.0009061391039999999,0.0010194064919999998,0.000877822257,0.000679604328,0.09721173575099999,0.764554869
1984-07-25,1984,7,25,0.003256437405,0.0030015857819999997,0.007928717160000001,0.0009910896450000001,0.0009061391039999999,0.0009910896450000001,0.000877822257,0.000679604328,0.09599411133,0.736238022
1984-07-26,1984,7,26,0.003058219476,0.0028033678530000002,0.007475647608,0.0009910896450000001,0.0009061391039999999,0.000962772798,0.000877822257,0.000679604328,0.09404024888700001,0.707921175
1984-07-27,1984,7,27,0.002718417312,0.002690100465,0.007107528597,0.0009910896450000001,0.000877822257,0.0009061391039999999,0.00084950541,0.000651287481,0.090528959859,0.707921175
1984-07-28,1984,7,28,0.002718417312,0.002605149924,0.006824360127,0.000962772798,0.000877822257,0.000877822257,0.00084950541,0.000651287481,0.08948123652000001,0.6796043279999999
1984-07-29,1984,7,29,0.002718417312,0.002491882536,0.006654459044999999,0.000934455951,0.00084950541,0.000877822257,0.00084950541,0.000622970634,0.08866004795699998,0.6796043279999999
1984-07-30,1984,7,30,0.0025201993829999996,0.0024352488419999998,0.006484557963,0.0009061391039999999,0.0008211885630000001,0.00084950541,0.0008211885630000001,0.00056633694,0.086309749656,0.651287481
1984-07-31,1984,7,31,0.0025201993829999996,0.002406931995,0.006399607422,0.0009061391039999999,0.0008211885630000001,0.0008211885630000001,0.000792871716,0.000538020093,0.083393114415,0.651287481
1984-08-01,1984,8,1,0.0025201993829999996,0.002350298301,0.0062863400339999995,0.000877822257,0.0008211885630000001,0.000792871716,0.000764554869,0.000424752705,0.080504796021,0.651287481
1984-08-02,1984,8,2,0.002463565689,0.002350298301,0.006116438952,0.0008211885630000001,0.000792871716,0.000679604328,0.000736238022,0.000339802164,0.07792796294399999,0.622970634
1984-08-03,1984,8,3,0.002237030913,0.002293664607,0.005861587329,0.000792871716,0.000792871716,0.000651287481,0.000707921175,0.00028316847,0.075577664643,0.5946537869999999
1984-08-04,1984,8,4,0.0023219814540000002,0.002237030913,0.005521785165,0.000792871716,0.000764554869,0.000651287481,0.000707921175,0.00028316847,0.073567168506,0.5946537869999999
1984-08-05,1984,8,5,0.002293664607,0.002208714066,0.005266933542,0.000792871716,0.000764554869,0.000622970634,0.000736238022,0.00028316847,0.07195310822699999,0.5946537869999999
1984-08-06,1984,8,6,0.0020388129839999996,0.002152080372,0.005012081918999999,0.000764554869,0.000736238022,0.000622970634,0.000736238022,0.00028316847,0.070452315336,0.5946537869999999
1984-08-07,1984,8,7,0.001840595055,0.002152080372,0.0048704976839999995,0.000707921175,0.000707921175,0.000594653787,0.000736238022,0.00028316847,0.066629540991,0.56633694
1984-08-08,1984,8,8,0.00169901082,0.002152080372,0.004615646061,0.000707921175,0.000707921175,0.00056633694,0.000707921175,0.000311485317,0.06467567854799999,0.538020093
1984-08-09,1984,8,9,0.001614060279,0.002152080372,0.004360794437999999,0.000679604328,0.000679604328,0.000538020093,0.000679604328,0.000339802164,0.06399607421999999,0.538020093
1984-08-10,1984,8,10,0.001585743432,0.002152080372,0.004304160744,0.000679604328,0.000651287481,0.000538020093,0.000679604328,0.000368119011,0.064052707914,0.538020093
1984-08-11,1984,8,11,0.001585743432,0.002152080372,0.004219210203,0.000651287481,0.000651287481,0.0005097032459999999,0.000679604328,0.000368119011,0.06345805412700001,0.5097032459999999
1984-08-12,1984,8,12,0.0015007928909999998,0.002152080372,0.004219210203,0.000622970634,0.000651287481,0.000481386399,0.000679604328,0.000396435858,0.063344786739,0.5097032459999999
1984-08-13,1984,8,13,0.001557426585,0.002095446678,0.0041342596619999995,0.000594653787,0.000651287481,0.000481386399,0.000679604328,0.000424752705,0.06258023187,0.5097032459999999
1984-08-14,1984,8,14,0.001472476044,0.0020671298309999997,0.004049309120999999,0.000594653787,0.000651287481,0.000481386399,0.000679604328,0.000424752705,0.060966171591,0.48138639899999996
1984-08-15,1984,8,15,0.001529109738,0.0019821792900000003,0.003992675427,0.00056633694,0.000622970634,0.000481386399,0.000679604328,0.000424752705,0.05986181455799999,0.48138639899999996
1984-08-16,1984,8,16,0.0012742581149999999,0.001868911902,0.003907724886,0.000538020093,0.000622970634,0.00045306955199999997,0.000679604328,0.000396435858,0.05691686246999999,0.48138639899999996
1984-08-17,1984,8,17,0.0011609907270000001,0.001868911902,0.003907724886,0.0005097032459999999,0.000622970634,0.00045306955199999997,0.000679604328,0.000368119011,0.055501020119999994,0.453069552
1984-08-18,1984,8,18,0.001076040186,0.001868911902,0.003907724886,0.0005097032459999999,0.000622970634,0.000424752705,0.000679604328,0.000368119011,0.055954089671999996,0.453069552
